iters,min_cf,min_df,rm_top,num_topics,num_beta_sample,removed_top_words,topics
100,20,20,25,30,5,one also two number used set function first may given theory called group space using many form point university every time known see new use,"Topic #0 operator complex equations tangent differential flow
Topic #1 problem exponential calculus compression test constraint
Topic #2 density normal law conditional variables variable
Topic #3 regular vertex convex vertices symmetry coordinates
Topic #4 united world war physics scientific particle
Topic #5 research national philosophy school social people
Topic #6 ring f r real module kernel
Topic #7 end step carlo monte method hilbert
Topic #8 programming critical maximum region mass derivative
Topic #9 triangle area rotation center body parallel
Topic #10 circles logic distance beyond middle egyptian
Topic #11 graph left free must structure components
Topic #12 algorithm axiom object return perfect digits
Topic #13 system entropy hash magnetic bits could
Topic #14 logic graph input logical truth language
Topic #15 tensor x product elements metric polynomial
Topic #16 energy player network particles networks equilibrium
Topic #17 data population wave frequency signal regression
Topic #18 state english public british life world
Topic #19 quantum bundle de einstein theories political
Topic #20 distribution probability random sample process mean
Topic #21 node tree data computer newton nodes
Topic #22 groups category lie hyperbolic subgroup g
Topic #23 matrix vector linear element curve v
Topic #24 numbers fourier n topology discrete sum
Topic #25 functions algebra equation x theorem differential
Topic #26 prime american statistical statistics mathematics society
Topic #27 series dual uniform related proof markov
Topic #28 knot degree integer mathematical algebraic journal
Topic #29 geometry family order pairs special notes"
100,30,20,50,30,1,one also two number used set function first may given theory called group space using many form point university every time known see new use since defined data mathematical x references value field different would vector system order case linear numbers theorem model distribution probability functions real matrix general n,"Topic #0 rotation operators quadratic hilbert root weight
Topic #1 work became research english hamiltonian studies
Topic #2 regression game correlation energy models tensor
Topic #3 algorithm logic search boolean code logical
Topic #4 american people school philosophy professor national
Topic #5 random interval derivative variable local module
Topic #6 newton force neumann high population von
Topic #7 information event tree player strategy flow
Topic #8 graph graphs distance vectors length area
Topic #9 hash node world films health library
Topic #10 black einstein game equilibrium tree player
Topic #11 object energy left spin multiplication scalar
Topic #12 problem truth frequency machine rules optimal
Topic #13 fourier transform filter bits reference matching
Topic #14 sample null posterior prior magnetic sorting
Topic #15 magic coefficient simple scheme block lagrangian
Topic #16 error mean recursive rule median law
Topic #17 quantum process markov decimal digit rate
Topic #18 test bundle string convergence hypothesis functional
Topic #19 population chinese design software social students
Topic #20 spaces projective compact manifold topology metric
Topic #21 computer journal published scientific science current
Topic #22 category operator v circle finite h
Topic #23 vertices ring infinite dual ideal sum
Topic #24 equation differential open proof equations class
Topic #25 prime lie surface curve algebraic hyperbolic
Topic #26 triangle three vertex convex four related
Topic #27 statistical mathematics central statistics distributions numerical
Topic #28 inequality discrete positive sequence series whose
Topic #29 analysis statistical stochastic along statistics applications"
100,20,20,25,30,1,one also two number used set function first may given theory called group space using many form point university every time known see new use,"Topic #0 polynomials orthogonal homotopy groups relations irreducible
Topic #1 circle angle coordinates end three loop
Topic #2 free black cell reflection part average
Topic #3 left digital path return sorting next
Topic #4 quantum energy equations momentum equation einstein
Topic #5 error frequency process variance entropy optimal
Topic #6 ring sheaf e force ibn person
Topic #7 philosophy permutation north ancient network political
Topic #8 string economic economics computer latin sampling
Topic #9 test game turing population data games
Topic #10 logical event water newton conditional would
Topic #11 input digit forces angular search bit
Topic #12 x vector c sets tangent normal
Topic #13 graph problem partition compression complexity deviation
Topic #14 school research became science people students
Topic #15 inverse root curve triangle magic vectors
Topic #16 algorithm method hash node control regression
Topic #17 tensor velocity estimator object category total
Topic #18 constant law riemannian negative logic value
Topic #19 distribution probability random distributions exponential line
Topic #20 vector map operator bundle algebraic manifold
Topic #21 regular hyperbolic vertex graph euclidean symmetry
Topic #22 matrix linear functions fourier transform integral
Topic #23 united statistical american field poisson physics
Topic #24 prime numbers integer positive theorem sum
Topic #25 mathematics society statistics mathematicians published american
Topic #26 uniform dual great edges inequality triangular
Topic #27 knot open index lie series algebra
Topic #28 conjecture square proved order equals states
Topic #29 convex list journals forms software volume"
100,20,10,25,40,3,one also two number used set function first may given theory called group space using many form point university every time known see new use,"Topic #0 de philosophers society academy city international
Topic #1 map c affine complex vector integral
Topic #2 axiom factor computing programming logic index
Topic #3 political million code social european graphics
Topic #4 numbers prime p integer base length
Topic #5 algorithm problem algorithms row problems basis
Topic #6 vector continuous fixed f convergence sets
Topic #7 subgroup category representation g tensor unitary
Topic #8 normal error probability scale strategy variable
Topic #9 united world war economic film school
Topic #10 sample population measure model design gravity
Topic #11 x real defined let r ordered
Topic #12 tangent circle equation surface line equations
Topic #13 test distribution variance prior bayesian hypothesis
Topic #14 thought tree theories islamic spin understanding
Topic #15 object language string category languages word
Topic #16 ring image r isomorphism direct functor
Topic #17 quantum entropy energy fuzzy mechanical einstein
Topic #18 estimator control parameter weight variation expected
Topic #19 particles light physical particle wave black
Topic #20 groups local lie global egyptian text
Topic #21 force gravitational velocity mass energy momentum
Topic #22 logic logical truth true law interpretation
Topic #23 data performance model models average simulation
Topic #24 rule program flow confidence permutation price
Topic #25 learning social network greek medieval video
Topic #26 turing relations multiplication relation negative characteristic
Topic #27 game philosophy player games players films
Topic #28 machine search transform complexity filter input
Topic #29 graph vertex honeycomb boundary diagram symbol
Topic #30 graph node nodes b matrix null
Topic #31 curve fourier distance equation method poisson
Topic #32 american people prize national research professor
Topic #33 methods work computer discrete study field
Topic #34 matrix polynomial polynomials linear matrices functions
Topic #35 distribution statistical probability statistics journal analysis
Topic #36 algebraic theorem topological algebra topology convex
Topic #37 regular triangle square hyperbolic uniform vertices
Topic #38 mathematical related family states degree three
Topic #39 list conjecture following odd series notes"
100,20,20,25,30,3,one also two number used set function first may given theory called group space using many form point university every time known see new use,"Topic #0 graph map topology topological projective spaces
Topic #1 triangle line image ordered model least
Topic #2 force digit nuclear library events sort
Topic #3 matrix x vector normal g scalar
Topic #4 test data regression law bundle exponential
Topic #5 vector product example chain local linear
Topic #6 ring groups rings operations left r
Topic #7 fourier input network languages wave hash
Topic #8 einstein quantum project body names volume
Topic #9 turing player machine gravity measurement film
Topic #10 vector euclidean unit length generated metric
Topic #11 search rotation path data spectral growth
Topic #12 estimator population data would estimate column
Topic #13 distribution null mean quantum matrix row
Topic #14 method transform methods equations algorithm distance
Topic #15 world national science social became english
Topic #16 objects spin energy strategy classification machines
Topic #17 united philosophers war indian philosophy political
Topic #18 optimization algorithm gradient value derivative roots
Topic #19 mass philosophical experimental john score influenced
Topic #20 logic boolean logical representation system truth
Topic #21 lie algebra integral category let operator
Topic #22 probability problem variable random variables value
Topic #23 probability distribution random statistical state process
Topic #24 regular vertices hyperbolic vertex convex uniform
Topic #25 de algebraic field polynomials matrices algebras
Topic #26 numbers sum differential theorem primes series
Topic #27 journal mathematical statistics analysis mathematics continuous
Topic #28 knot list mathematics family american truncated
Topic #29 series related degree symmetric n three"
100,20,10,25,30,10,one also two number used set function first may given theory called group space using many form point university every time known see new use,"Topic #0 prime lie algebraic numbers curve projective
Topic #1 scientific de book tiling published honeycomb
Topic #2 triangle ideal right spaces homotopy topological
Topic #3 graph vertices circle vertex graphs edge
Topic #4 american school society academy professor institute
Topic #5 ring groups infinite axiom fundamental elements
Topic #6 vector x field map gaussian local
Topic #7 measure polynomial values array difference algorithm
Topic #8 bundle r geometric tangent curvature finitely
Topic #9 algorithm output particles hash black memory
Topic #10 category price object data model frame
Topic #11 einstein light von magic universe knowledge
Topic #12 game philosophy south games began human
Topic #13 p z h x kernel choice
Topic #14 distribution quantum density particle gravity flow
Topic #15 fourier wave estimator mechanics harmonic lorentz
Topic #16 problem string character turing system problems
Topic #17 population political computer program sampling studies
Topic #18 logic logical test truth entropy boolean
Topic #19 tree player node distance error players
Topic #20 energy control network poisson state learning
Topic #21 vector tensor coordinate boundary points lattice
Topic #22 data sample probability regression variance mean
Topic #23 velocity error ratio trigonometric bernoulli false
Topic #24 united war film city people british
Topic #25 matrix linear matrices algebra n symmetric
Topic #26 functions differential probability continuous equation random
Topic #27 regular hyperbolic uniform square knot geometry
Topic #28 mathematical statistical mathematics polynomials statistics conjecture
Topic #29 convex analysis theorem factor theorems named"
100,30,10,25,30,1,one also two number used set function first may given theory called group space using many form point university every time known see new use,"Topic #0 research turing science scientific years world
Topic #1 prime lie numbers algebra base primes
Topic #2 field cohomology global galois class abelian
Topic #3 graph tangent coordinate area g cauchy
Topic #4 hash war human game key film
Topic #5 c ring zero lattice axiom elements
Topic #6 honeycomb einstein knowledge mass gravity waves
Topic #7 quantum phase code tensor fourier growth
Topic #8 state entropy data public economic bayesian
Topic #9 metric law riemannian velocity convergence potential
Topic #10 population social national city frame films
Topic #11 derivative ideal error mean distance often
Topic #12 matrix vectors quantum image map magnetic
Topic #13 machine ordered rotation input algorithm subset
Topic #14 model tree sample node rate conditional
Topic #15 logic algorithm boolean logical game system
Topic #16 philosophy expected learning water latin control
Topic #17 data regression design estimator medical sampling
Topic #18 solution error nodes equation mean relationship
Topic #19 circle circles curvature notation radius vertex
Topic #20 distribution probability random density variable transform
Topic #21 x sum module rank linear cycle
Topic #22 groups subgroup triangle complex partition relation
Topic #23 category spaces topological let f k
Topic #24 square convex surface dual curve tiling
Topic #25 american statistical statistics people stochastic professor
Topic #26 polynomial continuous markov inequality probability functions
Topic #27 knot topology angle permutation family union
Topic #28 regular uniform great conjecture mathematical hyperbolic
Topic #29 series list differential theorem small studied"
100,30,10,25,30,3,one also two number used set function first may given theory called group space using many form point university every time known see new use,"Topic #0 triangle circle tangent line lines equation
Topic #1 metric hilbert axioms g h affine
Topic #2 academy philosophers economic chinese indian began
Topic #3 quantum particles bayesian likelihood film risk
Topic #4 cohomology axiom logic formal truth equivalence
Topic #5 rule problem b complexity universal classical
Topic #6 matrix tree transform sampling node error
Topic #7 vector element zero binary vectors operation
Topic #8 algorithm variance frequency average method estimate
Topic #9 groups tensor representation study permutation row
Topic #10 lie image root principal right sum
Topic #11 political war public population philosophy later
Topic #12 code wave hash network energy networks
Topic #13 distribution probability random sample distributions mass
Topic #14 player equilibrium coordinate momentum category frame
Topic #15 data programming islamic fibonacci cluster transport
Topic #16 philosophy turing machine price energy students
Topic #17 rate system angular object equation absolute
Topic #18 languages data input algorithm control fuzzy
Topic #19 event sample types model distance game
Topic #20 american research society united scientific international
Topic #21 matrix regression matrices correlation test density
Topic #22 state string college einstein association work
Topic #23 algebraic topological topology algebra proof surface
Topic #24 functions continuous integral let spaces x
Topic #25 states symmetric equations operators differential version
Topic #26 knot mathematical family series conjecture mathematicians
Topic #27 regular convex vertex vertices hyperbolic uniform
Topic #28 prime numbers p sequence john degree
Topic #29 n analysis obtained statistical small part"
100,20,10,50,30,1,one also two number used set function first may given theory called group space using many form point university every time known see new use since defined data mathematical x references value field different would vector system order case linear numbers theorem model distribution probability functions real matrix general n,"Topic #0 circle angle euclidean triangle line affine
Topic #1 graph edges graphs planar spherical software
Topic #2 school city british social research chinese
Topic #3 fourier transform image primitive cohomology magnitude
Topic #4 einstein tensor markov philosophy processes newton
Topic #5 algorithm tree node algorithms nodes graph
Topic #6 momentum event law decision design energy
Topic #7 boolean rotation orbit ratio axiom structures
Topic #8 vectors permutation inner recursive structure area
Topic #9 quantum spin functor machine law lie
Topic #10 state particle particles energy population models
Topic #11 object hash elements multiplication module axioms
Topic #12 method gradient string wave classical null
Topic #13 ring lie projective ideal end bundle
Topic #14 convergence earth coefficients roots variable treatment
Topic #15 world united war national people political
Topic #16 flow rate distance scale coefficient magic
Topic #17 control sample input sampling search player
Topic #18 convex problem equations derivative correlation dirichlet
Topic #19 test game code algorithm phase risk
Topic #20 logic logical regression polynomials formal basic
Topic #21 turing v base category sets u
Topic #22 g f matrices metric topological riemann
Topic #23 random exponential hilbert curve method continuous
Topic #24 hyperbolic uniform surface subgroup vertex index
Topic #25 regular published knot journal mathematics infinite
Topic #26 groups algebra society algebras de algebraic
Topic #27 prime differential primes integer triangle american
Topic #28 statistics american polynomial list states algebraic
Topic #29 series dual statistical p construction type"
100,20,20,50,30,5,one also two number used set function first may given theory called group space using many form point university every time known see new use since defined data mathematical x references value field different would vector system order case linear numbers theorem model distribution probability functions real matrix general n,"Topic #0 normal gaussian groups e points riemann
Topic #1 root solution factor transform node binary
Topic #2 matrices row rotation column notation hamiltonian
Topic #3 logic work early de research prize
Topic #4 curvature galois classical metric riemannian derivatives
Topic #5 graph category g map b closed
Topic #6 quantum energy string particle flow particles
Topic #7 algorithm problem distance step turing method
Topic #8 social united american national political people
Topic #9 player game digital strategy much matching
Topic #10 ring bundle ideal product rings local
Topic #11 triangle angle length sides base circular
Topic #12 lie permutation choice action direct result
Topic #13 language axiom light symbols formal theories
Topic #14 circle lattice euclidean word greek newton
Topic #15 search south scientific philosophy public students
Topic #16 tree error entropy rate code effect
Topic #17 test control population species sample key
Topic #18 programming hash film event risk films
Topic #19 equation frame tensor sampling mass curve
Topic #20 mean variable sample variables density distributions
Topic #21 algorithm input algorithms complexity logic truth
Topic #22 state statistical bayesian computer science government
Topic #23 fourier measure limit series subset category
Topic #24 random finite algebra spaces continuous stochastic
Topic #25 american john mathematicians geometry society center
Topic #26 polynomial algebraic k polynomials integral rational
Topic #27 prime square hyperbolic vertex knot edge
Topic #28 mathematics convex statistics journal regular family
Topic #29 degree analysis fields surfaces related theorems"
